,LocationID,Borough,Zone,lat,lng,Counts
12,13,Manhattan,Battery Park City,40.7115786,-74.0158441,139993
36,37,Brooklyn,Bushwick South,40.6957755,-73.91706040000001,106234
47,48,Manhattan,Clinton East,40.721264,-73.9838497,257091
49,50,Manhattan,Clinton West,40.76280379999999,-73.9940677,149228
60,61,Brooklyn,Crown Heights North,40.66940220000001,-73.94223240000001,105591
67,68,Manhattan,East Chelsea,40.746500399999995,-74.00137370000002,299781
78,79,Manhattan,East Village,40.7264773,-73.98153370000001,407591
79,80,Brooklyn,East Williamsburg,40.7141953,-73.9316461,118640
86,87,Manhattan,Financial District North,40.7077143,-74.00827869999998,154994
89,90,Manhattan,Flatiron,40.740083,-73.9903489,225098
99,100,Manhattan,Garment District,40.754707200000006,-73.99163420000001,157241
106,107,Manhattan,Gramercy,40.7367783,-73.98447220000001,251499
111,112,Brooklyn,Greenpoint,40.7304701,-73.95150319999998,137519
112,113,Manhattan,Greenwich Village North,40.7335719,-74.0027418,246390
113,114,Manhattan,Greenwich Village South,40.7335719,-74.0027418,206420
124,125,Manhattan,Hudson Sq,40.726583399999996,-74.00747309999998,125469
131,132,Queens,JFK Airport,40.6413111,-73.77813909999998,289169
136,137,Manhattan,Kips Bay,40.74232920000001,-73.9800645,123537
137,138,Queens,LaGuardia Airport,40.7769271,-73.87396590000002,266119
139,140,Manhattan,Lenox Hill East,40.7662315,-73.96023120000001,126905
140,141,Manhattan,Lenox Hill West,40.7662315,-73.96023120000001,198226
141,142,Manhattan,Lincoln Square East,40.772627,-73.9823131,198052
142,143,Manhattan,Lincoln Square West,40.7741769,-73.98491179999998,113670
143,144,Manhattan,Little Italy/NoLiTa,40.720540899999996,-73.9966188,255202
147,148,Manhattan,Lower East Side,40.715033,-73.98427240000001,252805
157,158,Manhattan,Meatpacking/West Village West,40.7409865,-74.0076108,267480
160,161,Manhattan,Midtown Center,40.757996,-73.99907900000001,460732
161,162,Manhattan,Midtown East,40.7571432,-73.9718815,285518
162,163,Manhattan,Midtown North,40.7649516,-73.98510390000001,296734
163,164,Manhattan,Midtown South,40.7521795,-73.9875438,267871
169,170,Manhattan,Murray Hill,40.7478792,-73.9756567,290550
180,181,Brooklyn,Park Slope,40.6710672,-73.98142279999998,160037
185,186,Manhattan,Penn Station/Madison Sq West,40.7426745,-73.98935399999998,195698
210,211,Manhattan,SoHo,40.723301,-74.0029883,232871
228,229,Manhattan,Sutton Place/Turtle Bay North,40.7580446,-73.960208,171662
229,230,Manhattan,Times Sq/Theatre District,40.757974700000005,-73.9855426,315919
230,231,Manhattan,TriBeCa/Civic Center,40.7120742,-74.0058985,420356
232,233,Manhattan,UN/Turtle Bay South,40.7488758,-73.96800909999999,143451
233,234,Manhattan,Union Sq,40.7358633,-73.9910835,419045
235,236,Manhattan,Upper East Side North,40.7735649,-73.9565551,229344
236,237,Manhattan,Upper East Side South,40.7735649,-73.9565551,284514
237,238,Manhattan,Upper West Side North,40.7870106,-73.9753676,133828
238,239,Manhattan,Upper West Side South,40.7870106,-73.9753676,185741
245,246,Manhattan,West Chelsea/Hudson Yards,40.75272460000001,-74.0016428,279100
248,249,Manhattan,West Village,40.73468,-74.0047554,323989
254,255,Brooklyn,Williamsburg (North Side),40.714918700000005,-73.95286709999998,217938
255,256,Brooklyn,Williamsburg (South Side),40.711167700000004,-73.9593708,141357
261,262,Manhattan,Yorkville East,40.7702799,-73.9507983,108338
262,263,Manhattan,Yorkville West,40.7762231,-73.94920789999998,133630
