model,num_epochs,num_train,accuracy
deep_cheb,20,600,0.3420833349227905
deep_cheb,20,1200,0.6058333516120911
deep_cheb,20,2400,0.7674999833106995
deep_cheb_zero,20,600,0.3449999988079071
deep_cheb_zero,20,1200,0.4950000047683716
deep_fir,20,600,0.9558333158493042
deep_fir,20,1200,0.9958333373069763
deep_fir,20,2400,1.0
deep_fir_zero,20,600,0.8770833611488342
deep_fir_zero,20,1200,0.9737499952316284
deep_fir_zero,20,2400,0.9983333349227905
deep_cheb,20,600,0.35249999165534973
deep_cheb,20,1200,0.6349999904632568
deep_cheb,20,2400,0.737500011920929
deep_cheb_zero,20,600,0.3375000059604645
deep_cheb_zero,20,1200,0.4699999988079071
deep_cheb_zero,20,2400,0.7095833420753479
deep_cheb,10,600,0.4116666615009308
deep_cheb,10,1200,0.4300000071525574
deep_cheb,10,2400,0.7079166769981384
deep_cheb,10,4200,0.7512500286102295
deep_cheb_zero,10,600,0.2904166579246521
deep_cheb_zero,10,1200,0.33375000953674316
deep_cheb_zero,10,2400,0.5412499904632568
deep_cheb_zero,10,4200,0.7008333206176758
deep_fir,10,600,0.9387500286102295
deep_fir,10,1200,0.9941666722297668
deep_fir,10,2400,0.9995833039283752
deep_fir,10,4200,0.9995833039283752
deep_fir_zero,10,600,0.7370833158493042
deep_fir_zero,10,1200,0.8387500047683716
deep_fir_zero,10,2400,0.9766666889190674
deep_fir_zero,10,4200,0.965833306312561
deep_cheb,10,600,0.33791667222976685
deep_cheb,10,1200,0.5233333110809326
deep_cheb,10,2400,0.7108333110809326
deep_cheb,10,4200,0.7616666555404663
deep_cheb_zero,10,600,0.2566666603088379
deep_cheb_zero,10,1200,0.4087499976158142
deep_cheb_zero,10,2400,0.47208333015441895
deep_cheb_zero,10,4200,0.6945833563804626
deep_fir,10,600,0.8291666507720947
deep_fir,10,1200,0.9766666889190674
deep_fir,10,2400,0.9975000023841858
deep_fir,10,4200,1.0
deep_fir_zero,10,600,0.8512499928474426
deep_fir_zero,10,1200,0.8475000262260437
deep_fir_zero,10,2400,0.9391666650772095
deep_fir_zero,10,4200,0.9975000023841858
deep_cheb,10,600,0.32124999165534973
deep_cheb,10,1200,0.4791666567325592
deep_cheb,10,2400,0.6416666507720947
deep_cheb,10,4200,0.8083333373069763
deep_cheb_zero,10,600,0.2433333396911621
deep_cheb_zero,10,1200,0.34833332896232605
deep_cheb_zero,10,2400,0.597083330154419
deep_cheb_zero,10,4200,0.67166668176651
deep_fir,10,600,0.8308333158493042
deep_fir,10,1200,0.965833306312561
deep_fir,10,2400,0.9925000071525574
deep_fir,10,4200,1.0
deep_fir_zero,10,600,0.7079166769981384
deep_fir_zero,10,1200,0.8575000166893005
deep_fir_zero,10,2400,0.9683333039283752
deep_fir_zero,10,4200,0.9670833349227905
deep_cheb,10,600,0.3908333480358124
deep_cheb,10,1200,0.5575000047683716
deep_cheb,10,2400,0.6983333230018616
deep_cheb,10,4200,0.7487499713897705
deep_cheb_zero,10,600,0.2829166650772095
deep_cheb_zero,10,1200,0.34041666984558105
deep_cheb_zero,10,2400,0.5058333277702332
deep_cheb_zero,10,4200,0.7420833110809326
deep_fir,10,600,0.9225000143051147
deep_fir,10,1200,0.9433333277702332
deep_fir,10,2400,0.9995833039283752
deep_fir,10,4200,0.9987499713897705
deep_fir_zero,10,600,0.7462499737739563
deep_fir_zero,10,1200,0.89083331823349
deep_fir_zero,10,2400,0.96875
deep_fir_zero,10,4200,0.9850000143051147
deep_cheb,10,600,0.32624998688697815
deep_cheb,10,1200,0.5558333396911621
deep_cheb,10,2400,0.70333331823349
deep_cheb,10,4200,0.8125
deep_cheb_zero,10,600,0.2604166567325592
deep_cheb_zero,10,1200,0.3304166793823242
deep_cheb_zero,10,2400,0.48500001430511475
deep_cheb_zero,10,4200,0.7333333492279053
deep_fir,10,600,0.8899999856948853
deep_fir,10,1200,0.9641666412353516
deep_fir,10,2400,0.9991666674613953
deep_fir,10,4200,1.0
deep_fir_zero,10,600,0.8125
deep_fir_zero,10,1200,0.9045833349227905
deep_fir_zero,10,2400,0.9820833206176758
deep_fir_zero,10,4200,0.9816666841506958
deep_cheb,10,600,0.36500000953674316
deep_cheb,10,1200,0.44874998927116394
deep_cheb,10,2400,0.6800000071525574
deep_cheb,10,4200,0.7945833206176758
deep_cheb_zero,10,600,0.2291666716337204
deep_cheb_zero,10,1200,0.3675000071525574
deep_cheb_zero,10,2400,0.42250001430511475
deep_cheb_zero,10,4200,0.7558333277702332
deep_fir,10,600,0.8516666889190674
deep_fir,10,1200,0.9816666841506958
deep_fir,10,2400,0.997083306312561
deep_fir,10,4200,1.0
deep_fir_zero,10,600,0.7820833325386047
deep_fir_zero,10,1200,0.8854166865348816
deep_fir_zero,10,2400,0.9829166531562805
deep_fir_zero,10,4200,0.9870833158493042
deep_cheb,10,600,0.3375000059604645
deep_cheb,10,1200,0.5912500023841858
deep_cheb,10,2400,0.6879166960716248
deep_cheb,10,4200,0.815833330154419
deep_cheb_zero,10,600,0.26625001430511475
deep_cheb_zero,10,1200,0.33500000834465027
deep_cheb_zero,10,2400,0.44458332657814026
deep_cheb_zero,10,4200,0.715416669845581
deep_fir,10,600,0.8262500166893005
deep_fir,10,1200,0.9620833396911621
deep_fir,10,2400,0.9995833039283752
deep_fir,10,4200,1.0
deep_fir_zero,10,600,0.85958331823349
deep_fir_zero,10,1200,0.9170833230018616
deep_fir_zero,10,2400,0.9933333396911621
deep_fir_zero,10,4200,0.9895833134651184
